username,discord id,Golden Elite,Silver Elite,Bronze Elite,Server Booster,ID Verified,Owner,Event Mananger,Dance Captain,Head Host,Head Admin,Head Security,Head Photographer,Head DJ,Photographer,Security,Host,Dancer,DJ,Triskel Developer,BLACKLIST,fake
west frost,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,
Felkuro,,True,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Wolfhuntress98,338018149825773579,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
Bizz,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
F4LL3N M0N4RCH,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
pínky,1154789928392216577,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
Ripadrak,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
Rizzle,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
Xatic,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
Splitco,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,
Cybeʀ,567939663214673933,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,
~~ink~~,188786459984134144,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
--Vince--,753522611191021599,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
Víbez,,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
BasicWhiteLitch,105016966716129280,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,
`Alex`,102131189187358720,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,
จMementoMoriahจ,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,
Triskel Host,,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
JayedaLew,753358746918322306,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,
KatelynnArcee,699170255825797132,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,
Scarッ,702772386759442443,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,
AnObviousTrap,414018144596656128,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,
